Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Year
44403,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2007-07-16,Parts per billion,22.652174,43.0,7,41,Parts per million,0.029625,0.063,10,61,Parts per billion,2.0,11.0,8,16.0,Parts per million,0.383333,1.1,6,,2007
15612,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2015-04-21,Parts per billion,1.2375,2.8,9,2,Parts per million,0.034208,0.039,16,36,Parts per billion,-0.079167,0.0,5,0.0,Parts per million,0.4125,0.5,7,,2015
12092,6,19,8,"3425 N FIRST ST, FRESNO",California,Fresno,Fresno,2009-07-19,Parts per billion,8.956522,18.0,5,17,Parts per million,0.060458,0.083,9,119,Parts per billion,3.457143,4.3,11,,Parts per million,0.182609,0.3,5,,2009
69423,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2005-04-27,Parts per billion,16.625,34.0,18,32,Parts per million,0.033,0.042,0,36,Parts per billion,2.541667,6.0,23,9.0,Parts per million,0.129167,0.3,18,,2005
16905,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2012-05-13,Parts per billion,1.661111,2.7,13,2,Parts per million,0.0341,0.039,10,33,Parts per billion,-0.46,-0.4,11,,Parts per million,0.4,0.4,0,5.0,2012
54369,17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2009-02-02,Parts per billion,24.916667,43.0,19,41,Parts per million,0.016125,0.031,9,26,Parts per billion,0.3125,1.0,2,,Parts per million,0.4875,1.2,20,,2009
58082,29,510,86,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",Missouri,St. Louis City,St. Louis,2006-07-07,Parts per billion,19.916667,41.0,0,39,Parts per million,0.036583,0.06,10,51,Parts per billion,3.3375,8.3,11,,Parts per million,0.65,1.2,4,14.0,2006
41746,6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,2013-04-11,Parts per billion,7.140909,13.6,20,12,Parts per million,0.031917,0.041,9,35,Parts per billion,0.016667,0.1,11,,Parts per million,0.213364,0.296,20,,2013
45924,9,1,9003,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,2012-09-05,Parts per billion,3.0,20.0,20,19,Parts per million,0.020458,0.033,10,28,Parts per billion,0.157143,0.3,5,,Parts per million,0.197826,0.37,20,,2012
38942,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2013-05-05,Parts per billion,0.0,0.0,0,0,Parts per million,0.04705,0.051,0,47,Parts per billion,1.0,1.0,5,,Parts per million,0.2,0.2,0,,2013
75609,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,2001-05-08,Parts per billion,17.75,32.0,22,30,Parts per million,0.01775,0.037,8,31,Parts per billion,3.3875,6.0,20,,Parts per million,0.541667,0.8,17,,2001
37652,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2000-07-21,Parts per billion,11.173913,17.0,6,16,Parts per million,0.027417,0.056,10,47,Parts per billion,0.608696,2.0,10,3.0,Parts per million,0.234783,0.3,5,,2000
11885,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2011-09-12,Parts per billion,7.026087,12.0,6,11,Parts per million,0.03375,0.049,11,42,Parts per billion,0.216667,0.3,14,,Parts per million,0.266667,0.3,8,3.0,2011
62138,17,31,4201,750 DUNDEE ROAD,Illinois,Cook,Northbrook,2012-04-11,Parts per billion,12.583333,26.0,4,25,Parts per million,0.019542,0.035,11,30,Parts per billion,1.1,3.1,11,,Parts per million,0.187917,0.26,21,,2012
21463,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,2012-11-07,Parts per billion,29.754545,36.8,11,34,Parts per million,0.022875,0.041,10,35,Parts per billion,0.25,1.0,13,1.0,Parts per million,0.5125,0.7,0,8.0,2012
120342,48,201,416,7421 Park Place Blvd,Texas,Harris,Houston,2014-07-14,Parts per billion,5.195652,10.8,5,9,Parts per million,0.02175,0.039,10,36,Parts per billion,0.2375,1.6,14,,Parts per million,0.2,0.2,0,2.0,2014
48306,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2001-05-24,Parts per billion,14.666667,32.0,21,30,Parts per million,0.023417,0.033,9,28,Parts per billion,3.785714,12.6,17,,Parts per million,0.3125,0.4,21,5.0,2001
10145,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,2009-06-06,Parts per billion,3.173913,8.0,4,8,Parts per million,0.02625,0.034,9,29,Parts per billion,0.357143,1.0,11,,Parts per million,0.2,0.2,0,2.0,2009
54498,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,2003-06-12,Parts per billion,17.583333,21.0,12,20,Parts per million,0.010625,0.014,0,12,Parts per billion,2.666667,10.0,0,14.0,Parts per million,0.279167,0.4,7,,2003
67376,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2006-10-25,Parts per billion,19.083333,31.0,18,29,Parts per million,0.008208,0.024,10,20,Parts per billion,3.641667,12.9,13,17.0,Parts per million,0.429167,0.9,23,10.0,2006
